[run number];breeding-habitat-number;feeding-habitat-number;percent-specialized-bees;breeding-habitat-size;max-distance-breed;max-distance-feed;feeding-habitat-size;bee-number;min-distance-breed;min-distance-feed;[step];count specialized-bees;count bees - count specialized-bees;count bees;count crops;count wildflowers;count flowers with [color = cyan];count flowers;sum [seeds] of crops;count agriculture;count feeding-habitat;count breeding-habitat
1161;3;3;0.5;5;1;1;1;10;5;5;2199;0;9;9;25207;26;23;25233;590;2523;3;75
1162;3;3;0.5;5;1;1;3;10;1;1;2199;18;44;62;24962;270;270;25232;3031;2499;27;75
1164;3;3;0.5;5;1;1;3;10;1;1;2199;17;41;58;24963;270;268;25233;2875;2499;27;75
1170;3;3;0.5;5;1;1;3;10;1;5;2199;5;17;22;24973;270;269;25243;1138;2499;27;75
1166;3;3;0.5;5;1;1;3;10;1;3;2199;35;35;70;24968;270;268;25238;2248;2499;27;75
1168;3;3;0.5;5;1;1;3;10;1;5;2199;31;41;72;24970;270;265;25240;2699;2499;27;75
1171;3;3;0.5;5;1;1;3;10;3;1;2199;16;45;61;25062;180;179;25242;2740;2508;18;75
1172;3;3;0.5;5;1;1;3;10;3;1;2199;23;38;61;24979;270;260;25249;2458;2499;27;75
1167;3;3;0.5;5;1;1;3;10;1;3;2199;14;90;104;24966;270;184;25236;6082;2499;27;75
1169;3;3;0.5;5;1;1;3;10;1;5;2199;42;40;82;24963;270;270;25233;2797;2499;27;75
1165;3;3;0.5;5;1;1;3;10;1;3;2199;45;65;110;24961;270;260;25231;4585;2499;27;75
1176;3;3;0.5;5;1;1;3;10;3;3;2199;4;9;13;24972;270;269;25242;553;2499;27;75
1163;3;3;0.5;5;1;1;3;10;1;1;2199;29;97;126;24955;270;258;25225;6348;2499;27;75
1173;3;3;0.5;5;1;1;3;10;3;1;2199;14;75;89;25062;180;135;25242;4650;2508;18;75
1174;3;3;0.5;5;1;1;3;10;3;3;2199;8;53;61;24980;270;201;25250;3634;2499;27;75
1175;3;3;0.5;5;1;1;3;10;3;3;2199;13;48;61;24968;270;254;25238;3273;2499;27;75
1181;3;3;0.5;5;1;1;3;10;5;1;2199;3;15;18;24978;270;245;25248;967;2499;27;75
1177;3;3;0.5;5;1;1;3;10;3;5;2199;14;58;72;24970;270;262;25240;3988;2499;27;75
1186;3;3;0.5;5;1;1;3;10;5;5;2199;0;7;7;24977;267;191;25244;467;2499;27;75
1182;3;3;0.5;5;1;1;3;10;5;1;2199;0;30;30;24958;189;94;25147;1860;2499;27;75
1179;3;3;0.5;5;1;1;3;10;3;5;2199;29;27;56;24969;270;269;25239;1895;2499;27;75
1178;3;3;0.5;5;1;1;3;10;3;5;2199;28;59;87;24969;270;265;25239;4010;2499;27;75
1180;3;3;0.5;5;1;1;3;10;5;1;2199;21;66;87;24972;270;239;25242;4470;2499;27;75
1184;3;3;0.5;5;1;1;3;10;5;3;2199;15;37;52;24966;270;259;25236;2535;2499;27;75
1183;3;3;0.5;5;1;1;3;10;5;3;2199;18;36;54;25055;180;166;25235;2490;2508;18;75
1188;3;3;0.5;5;1;1;3;10;5;5;2199;14;26;40;24974;250;213;25224;1829;2499;27;75
1185;3;3;0.5;5;1;1;3;10;5;3;2199;14;70;84;24972;270;166;25242;4791;2499;27;75
1187;3;3;0.5;5;1;1;3;10;5;5;2199;20;85;105;24963;270;212;25233;5886;2499;27;75
1190;3;3;0.5;5;1;1;5;10;1;1;2199;80;98;178;24484;744;729;25228;5722;2451;75;75
1192;3;3;0.5;5;1;1;5;10;1;3;2199;79;76;155;24498;747;718;25245;4432;2451;75;75
1197;3;3;0.5;5;1;1;5;10;1;5;2199;83;51;134;24491;745;735;25236;3214;2451;75;75
1195;3;3;0.5;5;1;1;5;10;1;5;2199;71;52;123;24492;750;724;25242;3434;2451;75;75
1200;3;3;0.5;5;1;1;5;10;3;1;2199;46;3;49;24994;250;250;25244;216;2501;25;75
1198;3;3;0.5;5;1;1;5;10;3;1;2199;20;92;112;24491;649;443;25140;5834;2451;75;75
1191;3;3;0.5;5;1;1;5;10;1;1;2199;90;70;160;24488;750;744;25238;4508;2451;75;75
1194;3;3;0.5;5;1;1;5;10;1;3;2199;64;62;126;24493;750;737;25243;3598;2451;75;75
1193;3;3;0.5;5;1;1;5;10;1;3;2199;63;85;148;24494;743;694;25237;5325;2451;75;75
1189;3;3;0.5;5;1;1;5;10;1;1;2199;103;136;239;24489;750;676;25239;8690;2451;75;75
1199;3;3;0.5;5;1;1;5;10;3;1;2199;76;80;156;24496;750;727;25246;4572;2451;75;75
1196;3;3;0.5;5;1;1;5;10;1;5;2199;74;113;187;24483;750;738;25233;7494;2451;75;75
1202;3;3;0.5;5;1;1;5;10;3;3;2199;13;34;47;24487;648;633;25135;2054;2451;75;75
1207;3;3;0.5;5;1;1;5;10;5;1;2199;15;46;61;24491;674;630;25165;2944;2451;75;75
1210;3;3;0.5;5;1;1;5;10;5;3;2199;17;42;59;24501;741;735;25242;2764;2451;75;75
1209;3;3;0.5;5;1;1;5;10;5;1;2199;33;49;82;24480;694;648;25174;2863;2451;75;75
1205;3;3;0.5;5;1;1;5;10;3;5;2199;34;110;144;24479;750;737;25229;7176;2451;75;75
1212;3;3;0.5;5;1;1;5;10;5;3;2199;20;44;64;24499;677;608;25176;2944;2451;75;75
1211;3;3;0.5;5;1;1;5;10;5;3;2199;30;55;85;24746;498;468;25244;3489;2476;50;75
1206;3;3;0.5;5;1;1;5;10;3;5;2199;73;67;140;24483;750;735;25233;4439;2451;75;75
1203;3;3;0.5;5;1;1;5;10;3;3;2199;71;98;169;24498;750;676;25248;6223;2451;75;75
1201;3;3;0.5;5;1;1;5;10;3;3;2199;95;87;182;24495;750;593;25245;5618;2451;75;75
1204;3;3;0.5;5;1;1;5;10;3;5;2199;46;122;168;24483;750;739;25233;8170;2451;75;75
1208;3;3;0.5;5;1;1;5;10;5;1;2199;50;86;136;24492;733;717;25225;5543;2451;75;75
1217;3;5;0.5;1;1;1;1;10;1;1;2199;0;13;13;25917;50;26;25967;1001;2593;5;3
1216;3;5;0.5;1;1;1;1;10;1;1;2199;0;21;21;25908;50;46;25958;1630;2593;5;3
1218;3;5;0.5;1;1;1;1;10;1;1;2199;0;22;22;25908;41;38;25949;1659;2593;5;3
1219;3;5;0.5;1;1;1;1;10;1;3;2199;0;17;17;25909;32;30;25941;1260;2593;5;3
1220;3;5;0.5;1;1;1;1;10;1;3;2199;0;9;9;25904;31;28;25935;674;2593;5;3
1213;3;3;0.5;5;1;1;5;10;5;5;2199;43;97;140;24493;731;711;25224;6410;2451;75;75
1221;3;5;0.5;1;1;1;1;10;1;3;2199;0;19;19;25915;40;38;25955;1435;2594;4;3
1222;3;5;0.5;1;1;1;1;10;1;5;2199;0;20;20;25916;50;37;25966;1564;2593;5;3
1223;3;5;0.5;1;1;1;1;10;1;5;2199;0;13;13;25913;45;40;25958;1009;2593;5;3
1224;3;5;0.5;1;1;1;1;10;1;5;2199;0;21;21;25915;41;34;25956;1600;2593;5;3
1228;3;5;0.5;1;1;1;1;10;3;3;2199;0;8;8;25908;24;23;25932;620;2593;5;3
1225;3;5;0.5;1;1;1;1;10;3;1;2199;0;23;23;25909;50;40;25959;1780;2593;5;3
1226;3;5;0.5;1;1;1;1;10;3;1;2199;0;13;13;25896;50;38;25946;971;2593;5;3
1227;3;5;0.5;1;1;1;1;10;3;1;2199;0;15;15;25916;50;48;25966;1100;2593;5;3
1229;3;5;0.5;1;1;1;1;10;3;3;2199;0;16;16;25917;31;27;25948;1224;2593;5;3
1231;3;5;0.5;1;1;1;1;10;3;5;2199;0;8;8;25924;40;30;25964;594;2594;4;3
1214;3;3;0.5;5;1;1;5;10;5;5;2199;83;64;147;24486;750;749;25236;4288;2451;75;75
1230;3;5;0.5;1;1;1;1;10;3;3;2199;0;23;23;25906;50;48;25956;1762;2593;5;3
1232;3;5;0.5;1;1;1;1;10;3;5;2199;0;15;15;25921;40;30;25961;1165;2594;4;3
1215;3;3;0.5;5;1;1;5;10;5;5;2199;46;101;147;24495;750;724;25245;6755;2451;75;75
1233;3;5;0.5;1;1;1;1;10;3;5;2199;0;20;20;25923;40;39;25963;1568;2594;4;3
1234;3;5;0.5;1;1;1;1;10;5;1;2199;0;21;21;25897;50;40;25947;1629;2593;5;3
1235;3;5;0.5;1;1;1;1;10;5;1;2199;0;12;12;25904;50;40;25954;894;2593;5;3
1236;3;5;0.5;1;1;1;1;10;5;1;2199;0;15;15;25917;50;46;25967;1215;2593;5;3
1237;3;5;0.5;1;1;1;1;10;5;3;2199;0;16;16;25943;20;18;25963;1238;2596;2;3
1238;3;5;0.5;1;1;1;1;10;5;3;2199;0;20;20;25945;20;18;25965;1557;2596;2;3
1240;3;5;0.5;1;1;1;1;10;5;5;2199;0;11;11;25914;40;28;25954;857;2594;4;3
1241;3;5;0.5;1;1;1;1;10;5;5;2199;0;11;11;25919;30;30;25949;829;2594;4;3
1239;3;5;0.5;1;1;1;1;10;5;3;2199;0;23;23;25921;27;21;25948;1763;2594;4;3
1242;3;5;0.5;1;1;1;1;10;5;5;2199;0;9;9;25909;50;45;25959;703;2593;5;3
1244;3;5;0.5;1;1;1;3;10;1;1;2199;1;12;13;25511;391;356;25902;756;2553;45;3
1243;3;5;0.5;1;1;1;3;10;1;1;2199;6;21;27;25520;378;351;25898;1441;2553;45;3
1245;3;5;0.5;1;1;1;3;10;1;1;2199;10;14;24;25516;394;348;25910;980;2553;45;3
1246;3;5;0.5;1;1;1;3;10;1;3;2199;0;18;18;25597;360;336;25957;1242;2562;36;3
1249;3;5;0.5;1;1;1;3;10;1;5;2199;1;15;16;25682;270;258;25952;988;2571;27;3
1248;3;5;0.5;1;1;1;3;10;1;3;2199;0;27;27;25498;450;429;25948;1851;2553;45;3
1247;3;5;0.5;1;1;1;3;10;1;3;2199;8;13;21;25520;450;433;25970;860;2553;45;3
1252;3;5;0.5;1;1;1;3;10;3;1;2199;0;13;13;25512;447;424;25959;914;2553;45;3
1251;3;5;0.5;1;1;1;3;10;1;5;2199;14;12;26;25780;180;180;25960;845;2580;18;3
1250;3;5;0.5;1;1;1;3;10;1;5;2199;4;29;33;25602;360;338;25962;2177;2562;36;3
1253;3;5;0.5;1;1;1;3;10;3;1;2199;0;20;20;25511;361;302;25872;1376;2553;45;3
1255;3;5;0.5;1;1;1;3;10;3;3;2199;0;14;14;25500;400;359;25900;973;2553;45;3
1254;3;5;0.5;1;1;1;3;10;3;1;2199;0;35;35;25515;450;430;25965;2501;2553;45;3
1257;3;5;0.5;1;1;1;3;10;3;3;2199;0;26;26;25508;450;400;25958;1831;2553;45;3
1256;3;5;0.5;1;1;1;3;10;3;3;2199;13;21;34;25505;406;384;25911;1507;2553;45;3
1258;3;5;0.5;1;1;1;3;10;3;5;2199;7;23;30;25500;450;432;25950;1661;2553;45;3
1262;3;5;0.5;1;1;1;3;10;5;1;2199;0;25;25;25504;450;424;25954;1709;2553;45;3
1260;3;5;0.5;1;1;1;3;10;3;5;2199;2;25;27;25515;450;427;25965;1845;2553;45;3
1264;3;5;0.5;1;1;1;3;10;5;3;2199;4;20;24;25519;450;405;25969;1405;2553;45;3
1259;3;5;0.5;1;1;1;3;10;3;5;2199;5;29;34;25516;450;432;25966;2091;2553;45;3
1261;3;5;0.5;1;1;1;3;10;5;1;2199;13;23;36;25589;360;347;25949;1505;2562;36;3
